Radius,image112,image113,image114,image115,image116,image117,image118,image119,image120,image121,image122,image123,image124,image125,image126,image127,image128,image129
123,0,0,3,1,0,4,8,9,1,1,4,10,0,1,8,4,3,3
124,0,0,3,1,0,3,11,6,1,1,3,7,0,1,9,4,2,3
125,0,0,3,1,0,2,11,6,1,1,1,7,0,1,7,5,2,3
126,0,0,3,1,0,2,9,7,1,1,1,10,0,1,9,4,1,2
127,1,0,1,1,0,1,8,5,1,1,1,8,0,1,7,3,1,2
128,0,0,0,1,0,1,10,5,1,1,1,11,0,1,7,3,1,2
129,0,0,0,1,0,3,6,4,1,0,0,6,0,1,5,3,1,2
130,0,0,0,1,0,2,7,3,1,0,0,6,0,1,6,4,1,2
131,0,0,0,2,0,2,9,5,1,0,0,6,0,1,5,4,1,2
132,0,0,0,1,0,2,5,4,1,0,0,7,0,1,7,7,1,2
133,0,0,0,1,0,2,5,4,1,0,0,5,0,1,7,5,1,2
134,0,0,0,1,0,2,6,4,1,0,0,6,0,0,7,5,1,2
135,0,0,0,1,0,2,6,4,1,0,0,4,0,0,2,3,1,2
136,0,0,0,1,0,2,6,4,1,0,0,3,0,0,3,3,1,2
137,0,0,0,1,0,2,4,4,1,0,0,3,0,0,4,5,2,2
138,0,0,1,2,0,2,4,4,1,0,0,3,0,0,6,3,0,2
139,0,0,0,2,0,1,4,4,1,0,0,3,0,0,7,3,0,2
140,0,0,0,2,0,1,4,3,1,0,0,3,0,0,4,2,0,2
141,0,0,0,1,0,1,4,4,1,0,0,3,0,0,3,3,0,2
142,0,0,0,2,0,1,5,3,1,0,0,3,0,0,2,2,0,2
143,0,0,0,2,0,1,4,2,1,0,0,2,0,0,1,2,0,3
144,0,0,0,1,0,1,4,4,1,0,0,3,0,0,1,4,0,1
145,0,0,0,1,0,1,4,2,0,0,0,2,0,0,0,2,0,2
146,0,0,0,1,0,1,5,2,0,0,0,2,0,0,0,3,0,1
147,0,0,0,1,0,1,5,3,0,0,0,3,0,0,0,1,0,1
148,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,1,0,1
149,0,0,0,3,0,0,4,2,0,0,0,1,0,0,0,1,0,1
150,0,0,0,1,0,1,4,4,0,0,0,1,0,0,0,1,0,1
